Unnamed: 0,l1,l2,err_l1,err_l2
34,[0.9892739],[0.00321083],[1.0726094],[0.871058]
35,[0.98564285],[0.00321473],[1.435715],[0.99369437]
36,[0.9808109],[0.00318095],[1.9189119],[0.06747709]
37,[0.97916174],[0.0034326],[2.083826],[7.8383803]
38,[0.98387396],[0.00308296],[1.6126037],[3.1459615]
39,[0.97627807],[0.00338919],[2.3721933],[6.4745893]
40,[0.99802905],[0.00326603],[0.19709468],[2.60534]
41,[0.9684036],[0.00316528],[3.1596422],[0.5599319]
42,[0.9686578],[0.0030808],[3.1342208],[3.2137823]
43,[0.9725381],[0.00327823],[2.7461886],[2.9885585]
44,[0.99094933],[0.00323206],[0.9050667],[1.5381778]
45,[0.96241856],[0.003186],[3.7581444],[0.09103739]
46,[0.98343736],[0.0034191],[1.6562641],[7.414068]
47,[0.98115623],[0.0031881],[1.884377],[0.1571174]
48,[0.97361517],[0.00340375],[2.638483],[6.9319053]
49,[0.98177636],[0.00320258],[1.8223643],[0.6119971]
0,[0.9900389],[0.0028935],[0.9961128],[9.098136]
1,[0.9875616],[0.00340175],[1.2438416],[6.8691535]
2,[0.98521423],[0.00348262],[1.4785767],[9.409635]
3,[0.98399484],[0.00302959],[1.6005158],[4.822663]
4,[0.9867235],[0.00359804],[1.3276517],[13.035858]
5,[0.98074615],[0.00328864],[1.925385],[3.3157475]
6,[0.9877507],[0.00318854],[1.2249291],[0.17082493]
7,[0.9860636],[0.0034506],[1.39364],[8.403696]
8,[0.98359907],[0.00332141],[1.6400933],[4.3453054]
9,[0.98510665],[0.00349163],[1.4893353],[9.692768]
10,[0.9782509],[0.00344463],[2.174908],[8.216376]
11,[0.97286165],[0.00343282],[2.7138352],[7.84522]
12,[0.9828897],[0.00347485],[1.7110288],[9.165489]
13,[0.98220223],[0.00339146],[1.7797768],[6.545798]
14,[0.96800876],[0.00323048],[3.1991243],[1.4883728]
15,[0.9758191],[0.00335401],[2.418089],[5.3691945]
16,[0.9878662],[0.00360451],[1.2133777],[13.238918]
17,[0.9871965],[0.0033347],[1.2803495],[4.762793]
18,[0.9863162],[0.00345513],[1.3683796],[8.546147]
19,[0.98540395],[0.00324313],[1.4596045],[1.885972]
20,[0.99674165],[0.00327857],[0.32583475],[2.9994135]
21,[0.9891321],[0.00330087],[1.0867894],[3.6997929]
22,[0.9881898],[0.00342281],[1.1810184],[7.5308604]
23,[0.993504],[0.00366052],[0.6496012],[14.998758]
24,[0.9825897],[0.00324322],[1.7410278],[1.8887881]
25,[0.988834],[0.00325365],[1.1165977],[2.2164378]
26,[0.98571056],[0.00323978],[1.4289439],[1.7807443]
27,[0.9900429],[0.00310973],[0.9957075],[2.3050687]
28,[0.99183226],[0.00332464],[0.81677437],[4.446613]
29,[0.99174863],[0.00330921],[0.8251369],[3.9618526]
30,[0.98796314],[0.00325522],[1.203686],[2.2656724]
31,[0.988318],[0.00318912],[1.1681974],[0.1893089]
32,[0.991391],[0.00336008],[0.8608997],[5.559995]
33,[0.97310066],[0.00314845],[2.6899338],[1.0884548]
34,[0.9915689],[0.0031419],[0.8431077],[1.2942508]
35,[0.9885374],[0.00360602],[1.1462629],[13.286609]
36,[0.986846],[0.00318047],[1.315397],[0.08248664]
37,[0.9925338],[0.00390937],[0.7466197],[22.816341]
38,[0.98844206],[0.00323118],[1.1557937],[1.5106311]
39,[0.9819591],[0.00334344],[1.8040895],[5.037302]
40,[0.98704916],[0.00325814],[1.2950838],[2.3573463]
41,[0.98453957],[0.00313023],[1.5460432],[1.6609752]
42,[0.9841256],[0.0032625],[1.5874386],[2.4943411]
43,[0.9738017],[0.00354011],[2.6198328],[11.215819]
44,[0.9856525],[0.00345833],[1.4347494],[8.646497]
45,[0.97825885],[0.00335507],[2.1741152],[5.4025126]
46,[0.9829734],[0.00334137],[1.7026603],[4.9723635]
47,[0.99211794],[0.00357537],[0.78820586],[12.323622]
48,[0.98625976],[0.00335532],[1.3740242],[5.4103537]
49,[0.9919163],[0.00325906],[0.8083701],[2.3864875]
50,[0.98705864],[0.00376839],[1.294136],[18.387548]
51,[0.9885381],[0.00347954],[1.1461914],[9.312959]
52,[0.98725015],[0.00296718],[1.2749851],[6.7833753]
53,[0.9816741],[0.00337563],[1.8325925],[6.048566]
54,[0.9830897],[0.00351884],[1.6910315],[10.547565]
55,[0.9820233],[0.00333545],[1.7976701],[4.786324]
56,[0.98302567],[0.00311749],[1.697433],[2.0612662]
57,[0.98885185],[0.0034213],[1.1148155],[7.48344]
58,[0.9779151],[0.00344177],[2.2084892],[8.126261]
59,[0.9869378],[0.00327582],[1.3062179],[2.9129112]
0,[0.975213],[0.0036188],[2.4787009],[13.687815]
1,[0.98048323],[0.00327433],[1.9516766],[2.8662515]
2,[0.9743585],[0.00342734],[2.56415],[7.6730857]
3,[0.99328476],[0.00322928],[0.6715238],[1.4507759]
4,[0.99037266],[0.00320531],[0.9627342],[0.6977168]
5,[0.9799806],[0.0032522],[2.0019412],[2.1707728]
6,[0.9881901],[0.0033791],[1.1809886],[6.1576924]
7,[0.98858565],[0.00349962],[1.1414349],[9.943703]
8,[0.9880798],[0.00333984],[1.1920214],[4.9242697]
9,[0.9902404],[0.00309456],[0.9759605],[2.7814386]
10,[0.98048425],[0.00340661],[1.9515753],[7.0217795]
11,[0.97082466],[0.00331982],[2.917534],[4.295164]
12,[0.969187],[0.00339657],[3.0812979],[6.706258]
13,[0.9385506],[0.00442664],[6.144941],[39.066845]
14,[0.988991],[0.00341299],[1.1008978],[7.222119]
15,[0.9821358],[0.00343675],[1.7864227],[7.9685583]
16,[0.9858204],[0.00324921],[1.4179587],[2.076839]
17,[0.98799604],[0.00317639],[1.2003958],[0.21080649]
18,[0.97625136],[0.00352196],[2.3748636],[10.645705]
19,[0.97071064],[0.0033721],[2.9289365],[5.9377794]
20,[0.9837542],[0.00320093],[1.6245782],[0.56004894]
21,[0.9717626],[0.00342797],[2.8237402],[7.692806]
22,[0.9851135],[0.00381525],[1.4886498],[19.859623]
23,[0.98835206],[0.00318416],[1.164794],[0.03339842]
24,[0.99450433],[0.00330493],[0.54956675],[3.827542]
25,[0.9789885],[0.00333388],[2.1011472],[4.736819]
26,[0.97995526],[0.00301575],[2.0044744],[5.2574863]
27,[0.9618371],[0.00325072],[3.8162887],[2.1244056]
28,[0.972613],[0.00303031],[2.7387023],[4.8001485]
29,[0.98217475],[0.00306397],[1.7825246],[3.7424736]
30,[0.9878699],[0.00313618],[1.2130082],[1.4740216]
31,[0.7990469],[0.00305212],[20.095312],[4.1149106]
32,[0.98416346],[0.00335022],[1.5836537],[5.2503834]
33,[0.9841719],[0.00324836],[1.5828073],[2.05017]
34,[0.97731215],[0.00348769],[2.2687852],[9.569086]
35,[0.98405725],[0.00321495],[1.5942752],[1.0006725]
36,[0.9771732],[0.00341575],[2.282679],[7.308965]
37,[0.98161757],[0.00315879],[1.838243],[0.7635701]
38,[0.9891307],[0.0031757],[1.0869324],[0.23240647]
39,[0.9815385],[0.00324256],[1.8461525],[1.8681463]
40,[0.96684486],[0.00338488],[3.3155143],[6.339072]
41,[0.9882071],[0.00322608],[1.1792898],[1.3502002]
42,[0.9921187],[0.00344398],[0.7881284],[8.19594]
43,[0.9888029],[0.00329029],[1.119709],[3.367491]
44,[0.98468745],[0.00317871],[1.5312552],[0.13798243]
45,[0.9747291],[0.00344241],[2.527088],[8.146377]
46,[0.99254453],[0.00331074],[0.7455468],[4.0100923]
47,[0.9812493],[0.00330884],[1.8750727],[3.9501493]
48,[0.9824687],[0.00321416],[1.7531276],[0.97578096]
49,[0.98313683],[0.00317654],[1.6863167],[0.20609589]
50,[0.9864996],[0.0032179],[1.3500392],[1.0933776]
51,[0.9876915],[0.00348477],[1.2308478],[9.477171]
52,[0.98358756],[0.00323328],[1.6412437],[1.5766306]
53,[0.9824282],[0.00294274],[1.7571807],[7.551217]
54,[0.9865831],[0.00401942],[1.3416886],[26.273907]
0,[0.9795028],[0.00335462],[2.0497203],[5.3885927]
1,[0.97042674],[0.0037453],[2.9573262],[17.66195]
2,[0.98809654],[0.00345356],[1.1903465],[8.496884]
3,[0.98203063],[0.00341167],[1.796937],[7.1806602]
4,[0.9856902],[0.00329499],[1.4309824],[3.5151215]
5,[0.9855065],[0.00331889],[1.4493525],[4.2658763]
6,[0.9896277],[0.00330303],[1.0372281],[3.7676578]
7,[0.9785593],[0.00353543],[2.1440685],[11.068913]
8,[0.97822684],[0.00362531],[2.177316],[13.892484]
9,[0.9871423],[0.00361773],[1.2857676],[13.654262]
10,[0.982824],[0.00355934],[1.7175972],[11.819844]
11,[0.98490614],[0.00342367],[1.5093863],[7.557632]
12,[0.96372867],[0.00378428],[3.6271334],[18.886616]
13,[0.9895374],[0.00354153],[1.0462582],[11.260585]
14,[0.980186],[0.00332267],[1.9814014],[4.3848186]
15,[0.9859229],[0.0031432],[1.4077127],[1.2534868]
16,[0.96479064],[0.00396334],[3.5209358],[24.512041]
17,[0.97368133],[0.00339695],[2.631867],[6.718217]
18,[0.9708476],[0.00357558],[2.9152393],[12.330204]
19,[0.9798071],[0.00333507],[2.019292],[4.774438]
20,[0.98156595],[0.00328035],[1.8434048],[3.0550776]
21,[0.99105614],[0.0034366],[0.8943856],[7.9640822]
22,[0.99138045],[0.00338863],[0.8619547],[6.4569764]
23,[0.9853776],[0.00321587],[1.462239],[1.0294335]
24,[0.98091],[0.00347296],[1.9089997],[9.106372]
25,[0.9799834],[0.00338242],[2.001661],[6.2617207]
26,[0.99121785],[0.00339397],[0.87821484],[6.624831]
27,[0.9973962],[0.00344968],[0.2603829],[8.374855]
28,[0.9867844],[0.00346972],[1.3215601],[9.004451]
29,[0.94204986],[0.00355333],[5.795014],[11.631091]
30,[0.9797566],[0.0031534],[2.0243406],[0.9328736]
31,[0.98093206],[0.00361677],[1.9067943],[13.624032]
32,[0.9951457],[0.00331599],[0.48543215],[4.174934]
33,[0.9816449],[0.00318329],[1.8355072],[0.00597602]
34,[0.9800088],[0.00334474],[1.9991219],[5.078132]
35,[0.9782403],[0.00358118],[2.175969],[12.506193]
36,[0.9852474],[0.00339039],[1.4752626],[6.5121727]
37,[0.989764],[0.00365923],[1.0236025],[14.958183]
38,[0.9939282],[0.00336907],[0.6071806],[5.842397]
39,[0.9467542],[0.00379239],[5.3245783],[19.141537]
40,[0.9891414],[0.00326261],[1.0858595],[2.4979105]
41,[0.98165065],[0.00352105],[1.834935],[10.617165]
42,[0.98580444],[0.00348838],[1.4195561],[9.590767]
43,[0.9913473],[0.00341318],[0.8652687],[7.2282047]
44,[0.9857577],[0.00333921],[1.4242291],[4.9043155]
45,[0.98593104],[0.00360676],[1.4068961],[13.30968]
46,[0.9938424],[0.00342508],[0.6157577],[7.6020026]
47,[0.9679432],[0.00352106],[3.2056808],[10.617274]
48,[0.98547196],[0.00340543],[1.4528036],[6.98479]
49,[0.97591805],[0.00378358],[2.4081945],[18.864511]
50,[0.98591053],[0.00325844],[1.4089465],[2.3670087]
51,[0.9815551],[0.00350737],[1.8444896],[10.187176]
52,[0.9885006],[0.00339195],[1.1499405],[6.5610924]
53,[0.9742031],[0.00337603],[2.579689],[6.061206]
54,[0.9809158],[0.00360419],[1.9084215],[13.228824]
55,[0.98046154],[0.00330571],[1.9538462],[3.8520534]
56,[0.9819594],[0.00353729],[1.8040597],[11.12713]
0,[0.9865194],[0.00323985],[1.3480604],[1.7827338]
1,[0.98407876],[0.0031406],[1.5921235],[1.3352858]
2,[0.97683924],[0.00338184],[2.3160756],[6.2437854]
3,[0.9901582],[0.00348154],[0.98418],[9.375783]
4,[0.9960076],[0.0032378],[0.39923787],[1.7185483]
5,[0.8161942],[0.0025857],[18.380583],[18.767952]
6,[0.9827621],[0.00324889],[1.7237902],[2.0668106]
7,[0.9704455],[0.00332105],[2.9554486],[4.333865]
8,[0.98470664],[0.00324908],[1.529336],[2.0728962]
9,[0.9908743],[0.00315362],[0.91257095],[0.9262612]
10,[0.97993773],[0.00344272],[2.0062268],[8.156273]
11,[0.9781036],[0.00382399],[2.1896422],[20.13428]
12,[0.99490345],[0.00315513],[0.5096555],[0.8787748]
13,[0.97983474],[0.00337208],[2.0165265],[5.93707]
14,[0.98429734],[0.00350199],[1.5702665],[10.018172]
15,[0.98063254],[0.00329018],[1.9367456],[3.3639436]
16,[0.99082404],[0.00328959],[0.9175956],[3.3454082]
17,[0.9840432],[0.00307987],[1.5956819],[3.2430332]
18,[0.98601365],[0.003444],[1.3986349],[8.196562]
19,[0.99257547],[0.00323992],[0.74245334],[1.7850673]
20,[0.9913359],[0.00347007],[0.86640716],[9.015365]
21,[0.99777997],[0.00328606],[0.22200346],[3.234497]
22,[0.96061987],[0.00328342],[3.9380133],[3.1515863]
23,[0.98535985],[0.00320886],[1.4640152],[0.80927163]
24,[0.9894586],[0.00345896],[1.054138],[8.666392]
25,[0.9691664],[0.0036753],[3.0833602],[15.462999]
26,[0.9887196],[0.00336446],[1.1280417],[5.6977]
27,[0.9846269],[0.003193],[1.5373111],[0.31101635]
28,[0.9847014],[0.00316195],[1.5298605],[0.6642891]
29,[0.9761647],[0.00347268],[2.3835301],[9.097478]
30,[0.9892619],[0.00332581],[1.0738075],[4.4833684]
31,[0.97771317],[0.00332511],[2.2286832],[4.461549]
32,[0.9757365],[0.00316525],[2.42635],[0.5607365]
33,[0.97791564],[0.00334876],[2.2084355],[5.2044263]
34,[0.99803495],[0.00367688],[0.1965046],[15.512724]
35,[0.98087686],[0.00318388],[1.9123137],[0.02467211]
36,[0.99062926],[0.00331317],[0.9370744],[4.0863543]
37,[0.9814783],[0.00326953],[1.8521726],[2.7151904]
38,[0.98909426],[0.00316546],[1.0905743],[0.554146]
39,[0.96190596],[0.00387913],[3.8094044],[21.86644]
40,[0.98372185],[0.00313014],[1.6278148],[1.6636012]
41,[0.9923721],[0.00336805],[0.76279044],[5.810301]
42,[0.97304964],[0.00314454],[2.695036],[1.2112888]
43,[0.98631173],[0.00338326],[1.3688266],[6.2881193]
44,[0.99306756],[0.00344786],[0.69324374],[8.317867]
45,[0.99700236],[0.00326425],[0.29976368],[2.5494347]
46,[0.9843937],[0.00330514],[1.5606284],[3.833979]
47,[0.98063505],[0.00360984],[1.9364953],[13.406327]
48,[0.9893405],[0.00349852],[1.0659516],[9.9091625]
49,[0.9962319],[0.00335216],[0.37680864],[5.3112774]
50,[0.96916616],[0.00317663],[3.083384],[0.2033383]
