Unnamed: 0,l1_noisy,l2_noisy,err_l1_noisy,err_l2_noisy
7,[0.9746291],[0.00356429],[2.5370896],[11.975432]
8,[0.9921277],[0.00331002],[0.78722835],[3.9873805]
9,[0.9982963],[0.00319635],[0.17036796],[0.4161563]
10,[0.9834524],[0.00337609],[1.654762],[6.0630784]
11,[0.9899293],[0.00329911],[1.0070682],[3.6446187]
12,[0.9670836],[0.00331204],[3.2916427],[4.0508714]
13,[0.9916549],[0.00303484],[0.8345127],[4.6576385]
14,[0.988357],[0.00331299],[1.1642992],[4.0807953]
15,[0.9945984],[0.0032786],[0.54016113],[3.0002985]
16,[0.97971267],[0.00354439],[2.0287335],[11.350174]
17,[0.99024016],[0.00320588],[0.97598433],[0.71576923]
18,[0.988789],[0.00348528],[1.1210978],[9.493402]
19,[0.97016424],[0.00323159],[2.983576],[1.5233146]
20,[0.98019624],[0.00344676],[1.9803762],[8.283064]
21,[0.9748008],[0.00340869],[2.5199175],[7.0870695]
22,[0.9977921],[0.00324629],[0.22078753],[1.9852235]
23,[0.98055655],[0.00341719],[1.9443452],[7.354213]
24,[0.9892789],[0.00334466],[1.0721087],[5.075726]
25,[0.98454046],[0.0033732],[1.5459538],[5.9723334]
26,[0.9290208],[0.00375861],[7.0979176],[18.080233]
27,[0.9921445],[0.00349161],[0.7855475],[9.69219]
28,[0.990029],[0.00346508],[0.99710226],[8.858751]
29,[0.9879274],[0.00352819],[1.2072623],[10.841305]
30,[1.0092131],[0.00328222],[0.921309],[3.114011]
31,[0.968573],[0.00322255],[3.1427026],[1.23945]
32,[1.0004163],[0.00352986],[0.04162788],[10.893802]
33,[0.9778386],[0.00322178],[2.2161424],[1.2152679]
34,[0.98388547],[0.0034963],[1.6114533],[9.839587]
35,[0.9829205],[0.00360291],[1.7079473],[13.188821]
36,[0.99599904],[0.00309267],[0.40009618],[2.8409429]
37,[0.98951226],[0.00349505],[1.0487735],[9.800102]
38,[0.98366725],[0.00331324],[1.6332746],[4.0886364]
39,[0.9791199],[0.00330517],[2.0880103],[3.835069]
40,[0.9888875],[0.00309852],[1.1112511],[2.6571712]
41,[0.98950326],[0.00318042],[1.0496736],[0.08430065]
42,[0.98231465],[0.00351101],[1.7685354],[10.301774]
43,[0.9878857],[0.00333258],[1.2114286],[4.6959743]
44,[0.99609274],[0.00320069],[0.39072633],[0.5526173]
